"","cntry","happy","sclmeet","inprdsc","health","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","height","weighta","fltdpr","flteeff","slprl","wrhpp","fltlnl","enjlf","fltsd","hltprhc","hltprhb","hltprdi","gndr","paccnois"
"1","AT",8,4,1,3,8,3,3,3,4,3,178,90,1,1,1,3,1,3,1,0,1,0,1,0
"2","AT",9,7,4,2,8,1,1,5,5,3,168,74,2,2,3,3,3,4,2,1,0,0,2,0
"3","AT",9,4,4,1,9,4,3,3,1,4,180,95,2,2,3,3,1,3,1,0,0,0,2,0
"4","AT",7,6,3,3,8,2,2,3,6,7,167,70,2,2,3,2,2,2,2,0,1,1,2,0
"5","AT",9,5,4,2,9,3,3,3,1,2,168,67,1,1,1,3,1,3,1,0,0,0,1,0
"6","AT",8,6,4,1,8,5,3,4,5,2,155,60,1,2,2,4,1,4,1,0,1,0,2,0
"7","AT",7,4,2,2,8,4,NA,4,6,7,158,70,1,2,1,3,2,3,1,0,1,0,2,0
"8","AT",8,4,2,2,8,3,2,2,4,3,171,94,1,2,2,3,1,4,1,1,1,0,2,0
"9","AT",8,4,4,2,9,2,3,2,5,5,167,68,1,1,1,2,1,2,1,0,0,0,2,0
"10","AT",7,3,1,2,9,5,3,1,4,7,164,56,1,1,1,3,1,3,2,1,1,0,2,0
"11","AT",8,4,2,2,9,3,3,5,5,4,162,54,2,1,1,3,2,3,1,1,0,0,2,0
"12","AT",5,4,3,2,6,2,2,5,6,4,187,77,2,2,1,1,2,2,2,0,0,0,1,0
"13","AT",7,6,2,2,8,4,2,3,1,7,160,60,1,1,1,3,1,3,1,0,0,0,2,0
"14","AT",8,4,3,3,6,3,3,2,6,4,169,57,1,1,1,2,2,2,2,0,1,0,2,0
"15","AT",5,6,4,3,6,1,1,NA,3,NA,159,58,2,3,1,3,1,3,2,0,0,0,2,0
"16","AT",9,6,2,1,10,3,3,5,4,7,165,70,1,2,2,4,1,4,1,0,1,0,2,0
"17","AT",10,6,6,1,8,3,3,1,6,3,179,68,1,2,2,4,1,3,2,0,0,0,1,0
"18","AT",8,2,1,2,10,3,4,4,6,4,156,51,2,2,1,2,1,3,2,0,0,0,2,0
"19","AT",8,2,4,1,6,4,3,7,6,4,185,95,1,1,1,3,1,2,1,0,0,0,1,0
"20","AT",5,6,4,2,6,2,2,7,4,2,178,72,2,2,2,2,1,2,2,0,0,0,1,1
"21","AT",8,6,2,2,10,3,3,5,6,2,156,60,2,2,1,2,1,2,1,1,1,0,2,0
"22","AT",7,5,2,2,8,3,2,7,6,5,170,75,2,1,1,3,1,3,1,0,0,0,1,0
"23","AT",5,6,3,1,8,5,5,4,1,2,188,76,2,1,1,1,1,2,1,0,0,0,1,0
"24","AT",8,6,4,1,9,2,3,5,6,2,181,82,2,1,1,3,1,1,3,0,0,0,1,0
"25","AT",8,6,4,1,6,3,4,3,5,4,163,61,1,1,2,3,1,3,1,0,0,0,2,0
"26","AT",8,4,4,3,5,3,3,0,2,7,172,85,1,1,1,3,1,2,2,0,1,0,2,0
"27","AT",8,4,3,2,9,2,3,2,6,7,167,59,1,1,1,3,1,2,1,0,0,0,2,0
"28","AT",8,6,4,2,8,5,4,0,1,2,171,83,1,1,1,3,1,3,1,0,0,0,2,0
"29","AT",7,4,3,1,8,4,4,3,2,6,169,80,1,2,2,3,1,3,1,0,0,0,2,0
"30","AT",8,4,4,3,8,5,3,7,1,2,163,88,1,2,2,3,1,3,1,0,1,0,2,0
"31","AT",8,3,3,2,8,4,2,4,4,4,158,54,1,1,1,2,1,2,2,0,0,0,2,0
"32","AT",9,5,3,1,8,3,5,0,6,5,155,59,1,1,1,4,1,4,1,0,0,0,2,0
"33","AT",7,6,2,2,10,3,3,7,4,2,168,70,1,1,2,3,1,3,1,0,0,0,2,0
"34","AT",9,4,4,3,10,6,3,2,1,3,172,77,1,2,1,2,1,2,1,0,0,1,2,0
"35","AT",9,6,2,2,8,3,2,7,6,2,175,68,1,2,1,3,1,4,1,0,0,0,2,0
"36","AT",9,6,0,1,8,3,3,6,1,7,158,60,1,2,2,3,1,3,1,0,0,0,2,0
"37","AT",7,2,4,3,10,3,4,7,6,7,160,63,2,1,2,2,1,2,1,0,1,0,1,0
"38","AT",7,4,3,2,8,3,3,7,5,1,183,81,1,1,1,2,1,3,1,0,0,0,1,0
"39","AT",8,6,5,3,10,4,4,2,2,2,172,61,2,2,2,2,2,2,2,1,1,0,2,0
"40","AT",9,6,3,2,8,4,5,0,6,4,155,55,1,1,1,4,1,3,2,0,0,1,2,0
"41","AT",8,6,4,1,7,4,4,5,4,3,174,68,1,1,1,3,1,3,1,0,0,0,2,0
"42","AT",9,5,4,1,10,2,2,6,6,5,167,73,1,1,1,4,1,4,1,0,0,0,2,0
"43","AT",8,2,2,2,8,4,3,0,6,6,180,95,1,1,2,3,2,3,1,0,0,0,1,0
"44","AT",7,6,3,3,9,3,3,2,4,1,179,81,2,2,2,2,1,2,1,1,0,0,1,0
"45","AT",8,6,4,1,9,3,5,4,3,4,179,82,1,1,1,3,1,3,1,0,0,0,2,0
"46","AT",6,5,3,2,10,3,3,3,4,4,190,105,2,2,2,4,1,4,1,0,0,0,1,0
"47","AT",7,4,2,3,6,6,3,NA,1,2,173,65,2,2,2,2,2,2,2,0,0,0,1,0
"48","AT",5,5,3,2,5,3,5,7,6,7,165,86,1,1,1,2,1,4,4,0,0,1,2,0
"49","AT",6,3,4,4,8,4,4,3,1,4,173,72,3,2,4,2,3,2,3,0,0,1,1,0
"50","AT",9,6,1,2,7,4,3,4,6,2,183,97,2,1,1,4,1,4,2,0,0,0,1,0
"51","AT",8,6,4,1,9,4,3,5,6,3,189,82,1,1,2,3,1,3,1,0,0,0,1,0
"52","AT",9,4,4,1,10,3,3,7,6,6,173,67,1,1,1,4,1,3,1,0,0,0,2,0
"53","AT",3,6,4,3,6,6,5,3,6,7,180,80,2,2,3,2,1,2,2,1,0,0,2,0
"54","AT",7,6,3,3,8,2,3,2,6,7,163,68,2,2,1,2,2,2,2,1,1,0,2,0
"55","AT",8,4,3,2,8,3,3,2,6,6,156,60,1,2,2,3,3,4,1,0,0,0,2,0
"56","AT",8,5,2,2,9,3,3,6,6,5,179,89,1,2,1,2,1,3,1,0,0,0,1,0
"57","AT",7,3,4,3,10,3,3,6,6,7,164,60,1,2,1,2,1,2,1,1,1,0,2,0
"58","AT",9,7,4,2,7,3,2,1,6,2,178,88,1,1,2,4,1,4,1,0,1,0,2,1
"59","AT",8,2,2,3,4,2,5,1,6,5,170,70,1,2,4,2,2,2,1,0,0,0,1,0
"60","AT",6,3,3,3,6,6,5,2,1,2,173,62,2,2,2,2,2,2,2,0,0,0,1,0
"61","AT",7,4,2,2,9,3,2,3,4,5,169,69,1,1,1,3,1,2,1,0,0,0,2,0
"62","AT",6,5,1,3,7,3,3,0,6,2,167,59,2,2,3,3,2,2,2,0,0,0,2,0
"63","AT",8,4,4,2,9,3,3,1,5,2,184,96,1,2,1,2,1,2,1,0,1,0,1,0
"64","AT",9,5,3,2,10,3,3,4,2,6,184,108,1,1,2,4,1,4,1,0,0,0,1,0
"65","AT",9,6,4,2,8,2,NA,3,4,2,176,71,2,2,2,1,1,1,1,0,0,0,2,0
"66","AT",7,2,3,3,7,6,3,0,6,1,175,65,1,2,2,3,1,3,1,0,0,0,1,0
"67","AT",8,4,2,2,8,2,3,3,4,7,180,84,1,2,1,3,1,3,1,0,1,0,1,0
"68","AT",5,3,1,3,9,3,2,1,1,3,165,65,2,2,2,2,2,2,2,0,0,0,2,0
"69","AT",9,5,4,1,9,3,4,7,6,4,153,52,1,1,2,3,1,3,1,0,0,0,2,0
"70","AT",9,5,3,1,9,3,4,2,4,5,169,59,1,1,4,1,4,1,1,0,0,0,2,0
"71","AT",9,6,3,1,10,3,4,3,5,2,170,70,1,2,1,3,1,3,1,0,0,0,1,0
"72","AT",8,5,3,2,8,4,NA,5,6,7,165,58,1,2,3,3,1,2,1,0,0,0,2,0
"73","AT",7,7,4,1,7,3,3,3,1,7,177,86,1,1,1,3,1,3,1,0,0,0,1,0
"74","AT",7,5,3,3,9,3,4,1,4,3,188,98,1,1,1,2,1,2,1,0,1,0,1,0
"75","AT",10,6,3,1,8,5,5,6,2,3,169,58,1,1,1,3,1,3,1,0,0,0,2,0
"76","AT",8,5,4,1,8,5,4,2,1,3,175,81,1,1,1,3,1,3,1,0,0,0,1,0
"77","AT",8,5,3,2,9,4,3,5,4,3,171,67,1,1,2,3,1,3,1,0,0,0,2,0
"78","AT",8,4,3,1,10,3,2,3,1,2,197,100,1,1,1,4,1,4,2,0,0,0,1,0
"79","AT",7,4,4,2,9,4,3,3,4,2,186,96,1,1,2,3,1,2,1,0,0,0,1,0
"80","AT",8,6,3,2,8,5,4,0,1,2,172,78,1,1,1,3,1,4,1,0,0,0,1,0
"81","AT",5,7,4,2,7,3,4,4,3,2,172,65,2,1,1,2,1,2,2,0,0,0,1,0
"82","AT",9,4,4,1,10,4,4,7,6,2,190,85,1,1,1,4,1,4,1,0,0,0,1,0
"83","AT",9,6,3,1,9,3,3,5,6,4,185,88,1,2,2,4,1,4,1,0,0,0,1,0
"84","AT",7,5,2,1,8,4,4,4,4,2,177,85,1,1,1,2,1,2,1,0,0,0,1,0
"85","AT",9,5,3,2,10,2,3,4,4,3,173,83,2,2,2,3,2,3,2,1,1,0,1,0
"86","AT",9,4,4,2,6,4,4,3,1,4,180,76,1,1,1,4,1,4,1,0,1,0,1,0
"87","AT",8,6,3,2,8,5,3,6,6,2,180,80,1,1,1,4,1,3,2,0,0,0,1,0
"88","AT",10,4,4,1,2,2,1,7,1,7,168,84,1,2,1,4,1,4,1,1,0,0,2,0
"89","AT",8,5,3,2,9,4,3,4,5,3,187,89,1,1,1,3,1,2,1,0,0,0,1,0
"90","AT",5,4,2,4,6,5,3,0,6,2,168,62,2,2,2,2,2,3,2,0,1,0,2,0
"91","AT",4,3,3,2,8,3,4,3,6,4,161,61,2,2,2,2,2,2,2,0,0,0,2,0
"92","AT",9,4,4,2,9,3,3,1,6,3,186,86,1,1,2,4,1,3,1,0,0,0,1,0
"93","AT",7,3,2,3,7,4,3,0,5,7,168,60,2,2,3,2,3,2,2,1,0,0,2,0
"94","AT",6,4,2,2,9,4,3,2,4,4,174,88,1,2,2,2,1,3,1,0,1,0,1,0
"95","AT",5,1,1,3,5,6,6,3,6,7,163,100,2,3,4,2,1,3,3,1,0,0,1,0
"96","AT",10,7,5,1,7,6,5,6,6,2,179,80,1,2,1,4,1,4,1,0,0,0,1,0
"97","AT",5,6,6,5,8,4,4,0,3,3,173,105,1,3,4,4,1,4,1,1,1,0,1,0
"98","AT",7,6,0,2,8,2,3,2,6,7,172,90,1,1,1,2,2,2,1,0,1,0,1,0
"99","AT",9,4,2,2,10,4,3,2,6,4,167,62,1,1,1,4,1,4,1,0,0,0,2,0
"100","AT",9,4,4,1,10,4,3,5,4,3,182,75,1,1,1,2,1,2,1,0,0,0,1,0
"101","AT",8,6,4,3,10,4,4,0,6,3,168,93,1,3,2,2,2,2,2,1,1,0,2,0
"102","AT",6,2,2,4,7,6,6,5,1,2,182,73,3,2,2,2,3,1,2,0,0,0,1,0
"103","AT",9,4,4,3,9,3,2,7,6,7,175,63,2,2,2,3,1,3,2,0,0,0,1,0
"104","AT",8,6,4,2,10,3,4,3,4,6,165,57,1,2,1,3,1,3,2,0,0,0,2,0
"105","AT",5,6,4,2,9,4,4,7,4,7,171,56,1,1,2,2,1,2,2,0,1,0,2,0
"106","AT",7,6,1,1,8,4,4,NA,6,7,169,70,1,3,1,1,2,1,2,0,0,0,2,0
"107","AT",9,5,2,3,10,5,3,5,1,7,173,93,1,1,1,3,1,3,2,0,0,0,1,0
"108","AT",10,2,3,1,10,4,3,0,6,3,178,78,1,1,1,3,1,3,1,0,0,0,1,0
"109","AT",10,6,6,1,10,5,3,7,6,2,169,73,1,1,2,4,1,4,1,0,0,0,2,0
"110","AT",9,5,4,2,7,3,3,1,6,6,165,68,1,1,1,4,1,4,1,0,1,0,2,0
"111","AT",8,5,3,1,8,1,2,6,5,1,176,83,1,1,2,2,1,2,1,0,0,0,1,0
"112","AT",9,6,4,2,10,3,3,7,4,4,168,56,1,1,4,3,2,3,2,1,0,0,2,0
"113","AT",8,6,2,4,8,2,1,1,1,2,178,101,3,3,3,2,1,3,2,1,0,0,1,0
"114","AT",8,5,3,2,7,3,2,2,6,7,169,55,1,2,1,2,1,2,2,0,0,0,2,0
"115","AT",9,4,3,1,7,5,5,7,4,1,178,98,1,1,1,4,1,4,1,0,0,0,1,0
